taxon_id	species_name	rank	total_reads	hits_vs_cjejuni	hit_rate_%	avg_pident_%	max_pident_%	avg_query_coverage_%	avg_bitscore	min_evalue
196816	unclassified Acinetobacter	G1	3	0	0.0	0.0	0.0	0.0	0.0	N/A
196821	unclassified Pseudomonas	G1	33	0	0.0	0.0	0.0	0.0	0.0	N/A
2732249	Gemmatimonas groenlandica	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
222	Achromobacter	G	3	0	0.0	0.0	0.0	0.0	0.0	N/A
639200	Sphaerotilus sulfidivorans	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
293088	Martelella	G	11	0	0.0	0.0	0.0	0.0	0.0	N/A
2861282	Massilia sp. NP310	S	10	0	0.0	0.0	0.0	0.0	0.0	N/A
2562282	Halomonas binhaiensis	S	7	0	0.0	0.0	0.0	0.0	0.0	N/A
234	Brucella	G	2	0	0.0	0.0	0.0	0.0	0.0	N/A
1442032	Streptomyces dangxiongensis	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
41202	Ewingella americana	S	11	0	0.0	0.0	0.0	0.0	0.0	N/A
272630	Methylorubrum extorquens AM1	S1	6	0	0.0	0.0	0.0	0.0	0.0	N/A
43263	Pseudomonas alcaligenes	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2894081	Nocardioides okcheonensis	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
190721	Ralstonia insidiosa	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
680198	Streptomyces scabiei 87.22	S1	2	0	0.0	0.0	0.0	0.0	0.0	N/A
266	Paracoccus denitrificans	S	16	0	0.0	0.0	0.0	0.0	0.0	N/A
119060	Burkholderiaceae	F	10	0	0.0	0.0	0.0	0.0	0.0	N/A
283	Comamonas	G	72	0	0.0	0.0	0.0	0.0	0.0	N/A
33051	Sphingomonas sanguinis	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1296669	Aquabacterium olei	S	30	0	0.0	0.0	0.0	0.0	0.0	N/A
286	Pseudomonas	G	238	0	0.0	0.0	0.0	0.0	0.0	N/A
287	Pseudomonas aeruginosa	S	14	0	0.0	0.0	0.0	0.0	0.0	N/A
285	Comamonas testosteroni	S	19	0	0.0	0.0	0.0	0.0	0.0	N/A
2660641	Pseudoduganella aquatica	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
1528099	Lawsonella clevelandensis	S	24	0	0.0	0.0	0.0	0.0	0.0	N/A
293	Brevundimonas diminuta	S	6	0	0.0	0.0	0.0	0.0	0.0	N/A
296	Pseudomonas fragi	S	14	0	0.0	0.0	0.0	0.0	0.0	N/A
651561	Chryseobacterium arthrosphaerae	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
33069	Pseudomonas viridiflava	S	12	0	0.0	0.0	0.0	0.0	0.0	N/A
303	Pseudomonas putida	S	33	0	0.0	0.0	0.0	0.0	0.0	N/A
1904944	Stenotrophomonas sp. LM091	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
2355	unidentified bacterial endosymbiont	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
41275	Brevundimonas	G	23	0	0.0	0.0	0.0	0.0	0.0	N/A
316	Stutzerimonas stutzeri	S	128	0	0.0	0.0	0.0	0.0	0.0	N/A
317	Pseudomonas syringae	S	7	0	0.0	0.0	0.0	0.0	0.0	N/A
2926907	Abyssalbus ytuae	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
71999	Kocuria palustris	S	51	0	0.0	0.0	0.0	0.0	0.0	N/A
2849093	Rhizobium sp. WYJ-E13	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
41297	Sphingomonadaceae	F	10	0	0.0	0.0	0.0	0.0	0.0	N/A
338	Xanthomonas	G	12	0	0.0	0.0	0.0	0.0	0.0	N/A
339	Xanthomonas campestris	S	85	0	0.0	0.0	0.0	0.0	0.0	N/A
59734	Empedobacter	G	19	0	0.0	0.0	0.0	0.0	0.0	N/A
2761047	Janibacter sp. YB324	S	8	0	0.0	0.0	0.0	0.0	0.0	N/A
2023772	Paenibacillus sp. RUD330	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
352	Azotobacter	G	10	0	0.0	0.0	0.0	0.0	0.0	N/A
889201	Streptococcus cristatus ATCC 51100	S1	8	0	0.0	0.0	0.0	0.0	0.0	N/A
374	Bradyrhizobium	G	5	0	0.0	0.0	0.0	0.0	0.0	N/A
379	Rhizobium	G	22	0	0.0	0.0	0.0	0.0	0.0	N/A
2434	Roseobacter denitrificans	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
59779	Paracoccus marcusii	S	50	0	0.0	0.0	0.0	0.0	0.0	N/A
